platform,Desc,Link,Price,Rating,Raters,Reviewers,img_url,Scaled Rating,VFM,composite
Amazon,"FUNVERSE® Cute Magnetic Pencil Case with Sharpener – Compass Box for Kids Cute Themed Luxury Pencil Box for Kids – Stationary Organizer Pencil Box for Girls, Kids, Boys ( Cute Design )",https://www.amazon.in/FUNVERSE%C2%AE-Cute-Magnetic-Pencil-Sharpener/dp/B0BKGZFLT7,279,4.7,34,,https://m.media-amazon.com/images/I/71+uubLBVnL._AC_UL320_.jpg,3.4205590875575282,0.9239981435129514,0.8351398578701342
Amazon,Classmate Archimedes Geometry Box | Die- Cast Compass | Mechanical Pencil | Double sided tray,https://www.amazon.in/Classmate-4010050-Archimedes-Geo-Box/dp/B072JJYQTP,180,4.3,3984,,https://m.media-amazon.com/images/I/71ODx8cmL8L._AC_UL320_.jpg,4.299996714423303,1.446132127352932,1.3134050326460152
Amazon,Party Propz Stylish School Bus Geometry Box with Wheel for Kids 3+ Years,https://www.amazon.in/School-Bus-Pencil-Box-Boys/dp/B09QM5NS8K,419,4.1,495,,https://m.media-amazon.com/images/I/71Q8Gc9VaBL._AC_UL320_.jpg,4.071379831840426,0.897450931834428,0.9796558640632358
Amazon,Classmate Invento Geometry Box | Self Centering Die-Cast Compass | Rust resistant instruments | Available in your favourite Avengers Characters,https://www.amazon.in/Classmate-Invento-Disney-Geo-Box/dp/B01NBOEVW1,150,4.3,3984,,https://m.media-amazon.com/images/I/71biEORoppL._AC_UL320_.jpg,4.299996714423303,1.584158374568269,1.374655859421755
Amazon,"FUNVERSE® Magnetic Pencil Case with Sharpener – Compass Box for Kids Space Themed Luxury Pencil Box for Kids – Stationary Organizer Pencil Box for Girls, Kids, Boys ( Space )",https://www.amazon.in/FUNVERSE%C2%AE-Magnetic-Pencil-Case-Sharpener/dp/B0BJ978JC3,299,4.5,50,,https://m.media-amazon.com/images/I/714QaKNflhL._AC_UL320_.jpg,3.571129350693997,0.9318501733546147,0.875598867914473
Amazon,"FUNVERSE® 3D Cover Space Pencil Case Large Capacity Pencil Pouch Bag Compass School Pouch Organizer for Students Kids Premium Stylish Pen Holder Pouch, Stationery Box, Cosmetic Pouch Bag ( Pack Of 1 ) ( Space Design )",https://www.amazon.in/3D-Cover-Pencil-Case-Stationery/dp/B0B884ZZ4H,299,4.8,128,,https://m.media-amazon.com/images/I/91v7KQeNbhL._AC_UL320_.jpg,4.415559087360007,1.1521955933112158,1.2038582982267156
Amazon,Maped Metal Open Compass - 9 Pcs Set - (Colors May Vary),https://www.amazon.in/Maped-Metal-Open-Compass-Colors/dp/B003VKI69I,330,4.2,906,,https://m.media-amazon.com/images/I/61S2C1ZO+yL._AC_UL320_.jpg,4.194915198578845,1.0419390604628982,1.0876042864609368
Amazon,FUNVERSE Space School Bus Shaped Pencil Box for Kids with Wheels and Sharpener Metal - (Space Design) Multicolor,https://www.amazon.in/FUNVERSE-Space-Bus-Box-Sharpener/dp/B0B5LCSQC3,319,4.3,378,,https://m.media-amazon.com/images/I/81BNZ0HIYEL._AC_UL320_.jpg,4.243853529661699,1.0721144469950754,1.1161113526943838
Amazon,"FunBlast Multifunctional Pencil Box for Kids, Space Pencil Box for Boys, Kids Pencil Box for Boys & Girls, Magnetic Pencil Box for Boys, Pop up Pencil Box, Space Theme Return Gifts for Kids",https://www.amazon.in/FunBlast-Multifunctional-Pencil-Magnetic-Return/dp/B0B71GHHHH,536,4.1,48,,https://m.media-amazon.com/images/I/61zOL+vmoTL._AC_UL320_.jpg,3.2262813791943077,0.6287759905624793,0.6497956230566948
Amazon,"Supreme Deals Umadiya Unicorn 3D Cover Pencil Case Compass with Compartments, School Supply Organizer for Students, Stationery Box, Cosmetic Zip Pouch Bag (1 Unit)",https://www.amazon.in/Umadiya%C2%AE-Compartments-Organizer-Students-Stationery/dp/B0B3253SVC,305,4.2,406,,https://m.media-amazon.com/images/I/71YW7rV-01L._AC_UL320_.jpg,4.1531654194419065,1.0730140606746412,1.0927190157108628
